GeneLabel,ReplacementLabel
orf229,orf229
orf230,orf230
orf231,orf231
orf232,orf232
orf233,orf233
orf234,orf234
orf235,orf235
orf236,orf236
orf237,orf237
orf237a,orf237a
orf23,orf23
orf238,orf238
orf239,orf239
orf240,orf240
orf241,orf241
orf242,orf242
orf24,orf24
orf243,orf243
orf244,orf244
orf245,orf245
orf245a,orf245a
orf245b,orf245b
orf246,orf246
orf247,orf247
orf248,orf248
orf249,orf249
orf250,orf250
orf251,orf251
orf252,orf252
orf25,orf25
orf254,orf254
orf255,orf255
orf256,orf256
orf257,orf257
orf258,orf258
orf260,orf260
orf_26,orf_26
orf261,orf261
orf26,orf26
orf262,orf262
orf263,orf263
orf263a,orf263a
orf264,orf264
orf265,orf265
orf266,orf266
orf267,orf267
orf268,orf268
orf270,orf270
orf271,orf271
orf27,orf27
orf272,orf272
orf273,orf273
orf274,orf274
orf275,orf275
orf276,orf276
orf277,orf277
orf278,orf278
orf279,orf279
orf280,orf280
orf281,orf281
orf283,orf283
orf28,orf28
orf284,orf284
orf285,orf285
orf286,orf286
orf287,orf287
orf288,orf288
orf289,orf289
orf290,orf290
orf291,orf291
orf29,orf29
orf292,orf292
orf293,orf293
orf294,orf294
orf295,orf295
orf2971,orf2971
orf297,orf297
orf298,orf298
orf299,orf299
orf300,orf300
orf301,orf301
orf30,orf30
orf302,orf302
orf303,orf303
orf304,orf304
orf305,orf305
orf306,orf306
orf307,orf307
orf309,orf309
orf3,orf3
orf310,orf310
orf311,orf311
orf31,orf31
orf313,orf313
orf_3,orf_3
orf314,orf314
orf315,orf315
orf316,orf316
orf318,orf318
orf319,orf319
orf320,orf320
orf322,orf322
orf32,orf32
orf325,orf325
orf326,orf326
orf327,orf327
orf328,orf328
orf329,orf329
orf330,orf330
orf331,orf331
orf332,orf332
orf33,orf33
orf333,orf333
orf334,orf334
orf335,orf335
orf336,orf336
orf339,orf339
orf33b,orf33b
orf33c,orf33c
orf33d,orf33d
orf340,orf340
orf341,orf341
orf342,orf342
orf343,orf343
orf34,orf34
orf344,orf344
orf345,orf345
orf346,orf346
orf347,orf347
orf348,orf348
orf349,orf349
orf34a,orf34a
orf34b,orf34b
orf34c,orf34c
orf34d,orf34d
orf350,orf350
orf35,orf35
orf352,orf352
orf354,orf354
orf355,orf355
orf356,orf356
orf357,orf357
orf358,orf358
orf359,orf359
orf35b,orf35b
orf35c,orf35c
orf360,orf360
orf361,orf361
orf36,orf36
orf363,orf363
orf364,orf364
orf365,orf365
orf367,orf367
orf368,orf368
orf369,orf369
orf36b,orf36b
orf370,orf370
orf37,orf37
orf372,orf372
orf372b,orf372b
orf373,orf373
orf374,orf374
orf376,orf376
orf37b,orf37b
orf37c,orf37c
orf37d,orf37d
orf382,orf382
orf38,orf38
orf383,orf383
orf385,orf385
orf386,orf386
orf387,orf387
orf389,orf389
orf38b,orf38b
orf390,orf390
orf391,orf391
orf392,orf392
orf39,orf39
orf393,orf393
orf395,orf395
orf396,orf396
orf398,orf398
orf39b,orf39b
orf39c,orf39c
orf400,orf400
orf401,orf401
orf402,orf402
orf40,orf40
orf403,orf403
orf404,orf404
orf404a,orf404a
orf405,orf405
orf407,orf407
orf408,orf408
orf40a,orf40a
orf40b,orf40b
orf40c,orf40c
orf40d,orf40d
orf4,orf4
orf41.1,orf41.1
orf411,orf411
orf41,orf41
orf41.2,orf41.2
orf412,orf412
orf_4,orf_4
orf414,orf414
orf415,orf415
orf416,orf416
orf418,orf418
orf419,orf419
orf41b,orf41b
orf421,orf421
orf42,orf42
orf422,orf422
orf423,orf423
orf426,orf426
orf429,orf429
orf42b,orf42b
orf42c,orf42c
orf431,orf431
orf432,orf432
orf433,orf433
orf434,orf434
orf435,orf435
orf436,orf436
orf437,orf437
orf43,orf43
orf439,orf439
orf43a,orf43a
orf43b,orf43b
orf43c,orf43c
orf440,orf440
orf441,orf441
orf443,orf443
orf444,orf444
orf445,orf445
orf446,orf446
orf448,orf448
orf44,orf44
orf449,orf449
orf44b,orf44b
orf450,orf450
orf45,orf45
orf452,orf452
orf453,orf453
orf454,orf454
orf456,orf456
orf457,orf457
orf458,orf458
orf459,orf459
orf461,orf461
orf46,orf46
orf462,orf462
orf464,orf464
orf465,orf465
orf466,orf466
orf467,orf467
orf468,orf468
orf46b,orf46b
orf470,orf470
orf47.1,orf47.1
orf471,orf471
orf47.2,orf47.2
orf47.3,orf47.3
orf473,orf473
orf474,orf474
orf475,orf475
orf476,orf476
orf477,orf477
orf47,orf47
orf479,orf479
orf47b,orf47b
orf47c,orf47c
orf48,orf48
orf481,orf481
orf482,orf482
orf483,orf483
orf484,orf484
orf485,orf485
orf488,orf488
orf489,orf489
orf49,orf49
orf496,orf496
orf497,orf497
orf500,orf500
orf501,orf501
orf50,orf50
orf507,orf507
orf510,orf510
orf5,orf5
orf51,orf51
orf511,orf511
orf_5,orf_5
orf515,orf515
orf516,orf516
orf519,orf519
orf521,orf521
orf52,orf52
orf526,orf526
orf528,orf528
orf52b,orf52b
orf531,orf531
orf534,orf534
orf53,orf53
orf537,orf537
orf543,orf543
orf54,orf54
orf544,orf544
orf546,orf546
orf549,orf549
orf552,orf552
orf55,orf55
orf554,orf554
orf555,orf555
orf556,orf556
orf56,orf56
orf565,orf565
orf566,orf566
orf567,orf567
orf568,orf568
orf57,orf57
orf571,orf571
orf572,orf572
orf574,orf574
orf576,orf576
orf578,orf578
orf579,orf579
orf57a,orf57a
orf57b,orf57b
orf57c,orf57c
orf583,orf583
orf58,orf58
orf586,orf586
orf589,orf589
orf58b,orf58b
orf591,orf591
orf59,orf59
orf592,orf592
orf594,orf594
orf598,orf598
orf599,orf599
orf60,orf60
orf602,orf602
orf606,orf606
orf607,orf607
orf608,orf608
orf60a,orf60a
orf60b,orf60b
orf612,orf612
orf613,orf613
orf_6,orf_6
orf6,orf6
orf614,orf614
orf61,orf61
orf617,orf617
orf618,orf618
orf619,orf619
orf62,orf62
orf621,orf621
orf622,orf622
orf624,orf624
orf62a,orf62a
orf62b,orf62b
orf631,orf631
orf63,orf63
orf634,orf634
orf635,orf635
orf637,orf637
orf639,orf639
orf63a,orf63a
orf63b,orf63b
orf640,orf640
orf641,orf641
orf64,orf64
orf642,orf642
orf643,orf643
orf645,orf645
orf646,orf646
orf649,orf649
orf64a,orf64a
orf64c,orf64c
orf64d,orf64d
orf64e,orf64e
orf651,orf651
orf65,orf65
orf655,orf655
orf656,orf656
orf659,orf659
orf65a,orf65a
orf65b,orf65b
orf661,orf661
orf662,orf662
orf66,orf66
orf671,orf671
orf67,orf67
orf680,orf680
orf68,orf68
orf684,orf684
orf688,orf688
orf69,orf69
orf696,orf696
orf697,orf697
orf699,orf699
orf69a,orf69a
orf700,orf700
orf702,orf702
orf70,orf70
orf70a,orf70a
orf_7,orf_7
orf7,orf7
orf71,orf71
orf71a,orf71a
orf720,orf720
orf721,orf721
orf722,orf722
orf72,orf72
orf728,orf728
orf72a,orf72a
orf73,orf73
orf739,orf739
orf74,orf74
orf744,orf744
orf745,orf745
orf747,orf747
orf74a,orf74a
orf751,orf751
orf75,orf75
orf757,orf757
orf761,orf761
orf764,orf764
orf76,orf76
orf766,orf766
orf76a,orf76a
orf770,orf770
orf77,orf77
orf774,orf774
orf781,orf781
