GeneLabel,ReplacementLabel
orf234.1_=_ymf16;pwi_=_ymf16;mpo_=_orf244;mpo,orf234
orf234.2,orf234
orf234.2_=_ymf19;pwi_=_ymf19;mpo_=_orf172;mpo,orf234
orf234,orf234
orf235,orf235
orf236,orf236
orf237,orf237
orf238,orf238
orf239,orf239
orf240,orf240
orf24,orf24
orf241,orf241
orf242,orf242
orf243,orf243
orf244,orf244
orf245,orf245
orf246,orf246
orf247,orf247
orf247-ct,orf247
orf248,orf248
orf248-1,orf248
orf249,orf249
orf250,orf250
orf251,orf251
orf25,orf25
orf252,orf252
orf252a,orf252a
orf252b,orf252b
orf253,orf253
orf254,orf254
orf255,orf255
orf256,orf256
orf257,orf257
orf2572,orf2572
orf258,orf258
orf259,orf259
orf260,orf260
orf261,orf261
orf26,orf26
orf262,orf262
orf263,orf263
orf264,orf264
orf265,orf265
orf265a,orf265
orf265b,orf265
orf266,orf266
orf267,orf267
orf268,orf268
orf269,orf269
orf270,orf270
orf271,orf271
orf272,orf272
orf273,orf273
orf27,orf27
orf274,orf274
orf275,orf275
orf276,orf276
orf277,orf277
orf278,orf278
orf279,orf279
orf280,orf280
orf281,orf281
orf28,orf28
orf282,orf282
orf283,orf283
orf284,orf284
orf285,orf285
orf286,orf286
orf287,orf287
orf288,orf288
orf289,orf289
orf290,orf290
orf291,orf291
orf29,orf29
orf292,orf292
orf293,orf293
orf294,orf294
orf295,orf295
orf296,orf296
orf297,orf297
orf297a,orf297
orf298,orf298
orf299,orf299
orf300,orf300
orf301,orf301
orf302,orf302
orf30,orf30
orf303,orf303
orf304,orf304
orf304_=_ymf42,orf304
orf305,orf305
orf306,orf306
orf307,orf307
orf308,orf308
orf309,orf309
orf310,orf310
orf310a,orf310
orf311,orf311
orf312,orf312
orf313,orf313
orf31,orf31
orf314,orf314
orf315,orf315
orf316,orf316
orf317,orf317
orf318,orf318
orf319,orf319
orf3,orf3
orf320,orf320
orf32,orf32
orf321,orf321
orf322,orf322
orf323,orf323
orf324,orf324
orf325,orf325
orf326,orf326
orf327,orf327
orf328,orf328
orf329,orf329
orf329a,orf329
orf330,orf330
orf331,orf331
orf33,orf33
orf332,orf332
orf333,orf333
orf334,orf334
orf335,orf335
orf336,orf336
orf337,orf337
orf338,orf338
orf339,orf339
orf340,orf340
orf341,orf341
orf342,orf342
orf34,orf34
orf343,orf343
orf344,orf344
orf345,orf345
orf345a,orf345a
orf345b,orf345b
orf346,orf346
orf347,orf347
orf348,orf348
orf3486,orf3486
orf349,orf349
orf350,orf350
orf351,orf351
orf352,orf352
orf353,orf353
orf354,orf354
orf355,orf355
orf35,orf35
orf356,orf356
orf357,orf357
orf358,orf358
orf359,orf359
orf360,orf360
orf361,orf361
orf362,orf362
orf36,orf36
orf3630,orf3630
orf363,orf363
orf364,orf364
orf365,orf365
orf366,orf366
orf367,orf367
orf368,orf368
orf369,orf369
orf370,orf370
orf371,orf371
orf372,orf372
orf37,orf37
orf373,orf373
orf374,orf374
orf375,orf375
orf376,orf376
orf377,orf377
orf378,orf378
orf379,orf379
orf380,orf380
orf381,orf381
orf382,orf382
orf383,orf383
orf384,orf384
orf385,orf385
orf38,orf38
orf386,orf386
orf387,orf387
orf388,orf388
orf389,orf389
orf390,orf390
orf391,orf391
orf392,orf392
orf393,orf393
orf394,orf394
orf395,orf395
orf396,orf396
orf397,orf397
orf39,orf39
orf398,orf398
orf399,orf399
orf39a,orf39
orf39b,orf39
orf39c,orf39
orf400,orf400
orf401,orf401
orf402,orf402
orf403,orf403
orf404,orf404
orf405,orf405
orf406,orf406
orf407,orf407
orf40,orf40
orf408,orf408
orf409,orf409
orf40a,orf40
orf40b,orf40
orf40c,orf40
orf410,orf410
orf411,orf411
orf4,orf4
orf412,orf412
orf41,orf41
orf413,orf413
orf414,orf414
orf415,orf415
orf416,orf416
orf417,orf417
orf418,orf418
orf419,orf419
orf420,orf420
orf421,orf421
orf42,orf42
orf422,orf422
orf423,orf423
orf424,orf424
orf425,orf425
orf426,orf426
orf427,orf427
orf428,orf428
orf429,orf429
orf430,orf430
orf431,orf431
orf432,orf432
orf433,orf433
orf434,orf434
orf435,orf435
orf43,orf43
orf436,orf436
orf437,orf437
orf438,orf438
orf439,orf439
orf440,orf440
orf441,orf441
orf442,orf442
orf443,orf443
orf44,orf44
orf444,orf444
orf447,orf447
orf448,orf448
orf449,orf449
orf450,orf450
orf451,orf451
orf452,orf452
orf45,orf45
orf453,orf453
orf454,orf454
orf455,orf455
orf456,orf456
orf458,orf458
orf459,orf459
orf460,orf460
orf46,orf46
orf462,orf462
orf463,orf463
orf464,orf464
orf465,orf465
orf467,orf467
orf468,orf468
orf469,orf469
orf470,orf470
orf471,orf471
orf47,orf47
orf472,orf472
orf473,orf473
orf474,orf474
orf475,orf475
orf476,orf476
orf478,orf478
orf479,orf479
orf480,orf480
orf481,orf481
orf48,orf48
orf482,orf482
orf484,orf484
orf485,orf485
orf486,orf486
orf487,orf487
orf488,orf488
orf490,orf490
orf492,orf492
orf49,orf49
orf493,orf493
orf494,orf494
orf496,orf496
orf496b,orf496
orf498,orf498
orf502,orf502
orf50,orf50
orf503,orf503
orf504,orf504
orf505,orf505
orf507,orf507
orf508,orf508
orf510,orf510
orf511,orf511
orf512,orf512
orf5,orf5
orf513,orf513
orf51,orf51
orf515,orf515
orf516,orf516
orf518,orf518
orf519,orf519
orf51a,orf51
orf51b,orf51
orf524,orf524
orf526,orf526
orf528,orf528
orf529,orf529
orf52a,orf52
orf52b,orf52
orf533,orf533
orf53,orf53
orf535,orf535
orf536,orf536
orf537,orf537
orf539,orf539
orf540,orf540
orf54,orf54
orf543,orf543
orf543a,orf543
orf544,orf544
orf546,orf546
orf547,orf547
orf550,orf550
orf551,orf551
orf552,orf552
orf55,orf55
orf556_1,orf556
orf556_2,orf556
orf557,orf557
orf558,orf558
orf560,orf560
orf561,orf561
orf56,orf56
orf563,orf563
orf565,orf565
orf567,orf567
orf568,orf568
orf56a,orf56
orf56b,orf56
orf57,orf57
orf575,orf575
orf576,orf576
orf577,orf577
orf58,orf58
orf581,orf581
orf582,orf582
orf583,orf583
orf584,orf584
orf585,orf585
orf590,orf590
orf591,orf591
orf59,orf59
orf593,orf593
orf594,orf594
orf597,orf597
orf598,orf598
orf60,orf60
orf603,orf603
